id_ville;ville;code_postal
601;Chézy-en-Orxois;2810
602;Chézy-sur-Marne;2570
603;Chierry;2400
604;Chigny;2120
605;Chivres-en-Laonnois;2350
606;Chivres-Val;2880
607;Chivy-lès-Étouvelles;2000
608;Chouy;2210
609;Cierges;2130
610;Cilly;2250
611;Ciry-Salsogne;2220
612;Clacy-et-Thierret;2000
613;Clairfontaine;2260
614;Clamecy;2880
615;Clastres;2440
616;Clermont-les-Fermes;2340
617;Coeuvres-et-Valsery;2600
618;Coincy;2210
619;Coingt;2360
620;Colligis-Crandelain;2860
621;Colonfay;2120
622;Commenchon;2300
623;Concevreux;2160
624;Condé-en-Brie;2330
625;Condé-sur-Aisne;2370
626;Condé-sur-Suippe;2190
627;Condren;2700
628;Connigis;2330
629;Contescourt;2680
630;Corbeny;2820
631;Corcy;2600
632;Coucy-le-Château-Auffrique;2380
633;Coucy-lès-Eppes;2840
634;Coucy-la-Ville;2380
635;Coulonges-Cohan;2130
636;Coupru;2310
637;Courbes;2800
638;Courboin;2330
639;Courcelles-sur-Vesle;2220
640;Courchamps;2810
641;Courmelles;2200
642;Courmont;2130
643;Courtemont-Varennes;2850
644;Courtrizy-et-Fussigny;2820
645;Couvrelles;2220
646;Couvron-et-Aumencourt;2270
647;Coyolles;2600
648;Cramaille;2130
649;Craonne;2160
650;Craonnelle;2160
651;Crécy-au-Mont;2380
652;Crécy-sur-Serre;2270
653;Crépy;2870
654;Crézancy;2650
655;Croix-Fonsommes;2110
656;La Croix-sur-Ourcq;2210
657;Crouttes-sur-Marne;2310
658;Crouy;2880
659;Crupilly;2120
660;Cuffies;2880
661;Cugny;2480
662;Cuirieux;2350
663;Cuiry-Housse;2220
664;Cuiry-lès-Chaudardes;2160
665;Cuiry-lès-Iviers;2360
666;Cuissy-et-Geny;2160
667;Cuisy-en-Almont;2200
668;Cutry;2600
669;Cys-la-Commune;2220
670;Dagny-Lambercy;2140
671;Dallon;2680
672;Dammard;2470
673;Dampleux;2600
674;Danizy;2800
675;Dercy;2270
676;Deuillet;2700
677;Dhuizel;2220
678;Dizy-le-Gros;2340
679;Dohis;2360
680;Dolignon;2360
681;Dommiers;2600
682;Domptin;2310
683;Dorengt;2450
684;Douchy;2590
685;Dravegny;2130
686;Droizy;2210
687;Dury;2480
688;Ébouleau;2350
689;Effry;2500
690;Englancourt;2260
691;Épagny;2290
692;Éparcy;2500
693;Épaux-Bézu;2400
694;Épieds;2400
695;L'Épine-aux-Bois;2540
696;Eppes;2840
697;Erlon;2250
698;Erloy;2260
699;Esquéhéries;2170
700;Essigny-le-Grand;2690
701;Essigny-le-Petit;2100
702;Essises;2570
703;Essômes-sur-Marne;2400
704;Estrées;2420
705;Étampes-sur-Marne;2400
706;Étaves-et-Bocquiaux;2110
707;Étouvelles;2000
708;Étréaupont;2580
709;Étreillers;2590
710;Étrépilly;2400
711;Étreux;2510
712;Évergnicourt;2190
713;Faucoucourt;2320
714;Faverolles;2600
715;Fayet;2100
716;La Fère;2800
717;Fère-en-Tardenois;2130
718;La Ferté-Chevresis;2270
719;La Ferté-Milon;2460
720;Fesmy-le-Sart;2450
721;Festieux;2840
722;Fieulaine;2110
723;Filain;2000
724;La Flamengrie;2260
725;Flavigny-le-Grand-et-Beaurain;2120
726;Flavy-le-Martel;2520
727;Fleury;2600
728;Fluquières;2590
729;Folembray;2670
730;Fonsommes;2110
731;Fontaine-lès-Clercs;2680
732;Fontaine-lès-Vervins;2140
733;Fontaine-Notre-Dame;2110
734;Fontaine-Uterte;2110
735;Fontenelle;2170
736;Fontenelle-en-Brie;2540
737;Fontenoy;2290
738;Foreste;2590
739;Fossoy;2650
740;Fourdrain;2870
741;Francilly-Selency;2760
742;Franqueville;2140
743;Fresnes-en-Tardenois;2130
744;Fresnes;2380
745;Fresnoy-le-Grand;2230
746;Fressancourt;2800
747;Frières-Faillouël;2700
748;Froidestrées;2260
749;Froidmont-Cohartille;2270
750;Gandelu;2810
751;Gauchy;2430
752;Gercy;2140
753;Gergny;2260
754;Germaine;2590
755;Gernicourt;2160
756;Gibercourt;2440
757;Gizy;2350
758;Gland;2400
759;Glennes;2160
760;Goudelancourt-lès-Berrieux;2820
761;Goudelancourt-lès-Pierrepont;2350
762;Goussancourt;2130
763;Gouy;2420
764;Grandlup-et-Fay;2350
765;Grandrieux;2360
766;Gricourt;2100
767;Grisolles;2210
768;Gronard;2140
769;Grougis;2110
770;Grugies;2680
771;Guignicourt;2190
772;Guise;2120
773;Guivry;2300
774;Guny;2300
775;Guyencourt;2160
776;Hannapes;2510
777;Happencourt;2480
778;Haramont;2600
779;Harcigny;2140
780;Hargicourt;2420
781;Harly;2100
782;Hartennes-et-Taux;2210
783;Hary;2140
784;Lehaucourt;2420
785;Hautevesnes;2810
786;Hauteville;2120
787;Haution;2140
788;La Hérie;2500
789;Le Hérie-la-Viéville;2120
790;Hinacourt;2440
791;Hirson;2500
792;Holnon;2760
793;Homblières;2720
794;Houry;2140
795;Housset;2250
796;Iron;2510
797;Itancourt;2240
798;Iviers;2360
799;Jaulgonne;2850
800;Jeancourt;2490
801;Jeantes;2140
802;Joncourt;2420
803;Jouaignes;2220
804;Jumencourt;2380
805;Jumigny;2160
806;Jussy;2480
807;Juvigny;2880
808;Juvincourt-et-Damary;2190
809;Laffaux;2880
810;Laigny;2140
811;Lanchy;2590
812;Landifay-et-Bertaignemont;2120
813;Landouzy-la-Cour;2140
814;Landouzy-la-Ville;2140
815;Landricourt;2380
816;Laniscourt;2000
817;Laon;2000
818;Lappion;2150
819;Largny-sur-Automne;2600
820;Latilly;2210
821;Launoy;2210
822;Laval-en-Laonnois;2860
823;Lavaqueresse;2450
824;Laversine;2600
825;Lemé;2140
826;Lempire;2420
827;Lerzy;2260
828;Leschelle;2170
829;Lesdins;2100
830;Lesges;2220
831;Lesquielles-Saint-Germain;2120
832;Leuilly-sous-Coucy;2380
833;Leury;2880
834;Leuze;2500
835;Levergies;2420
836;Lhuys;2220
837;Licy-Clignon;2810
838;Lierval;2860
839;Liesse-Notre-Dame;2350
840;Liez;2700
841;Limé;2220
842;Lislet;2340
843;Lizy;2320
844;Logny-lès-Aubenton;2500
845;Longpont;2600
846;Longueval-Barbonval;2160
847;Lor;2190
848;Louâtre;2600
849;Loupeigne;2130
850;Lucy-le-Bocage;2400
851;Lugny;2140
852;Luzoir;2500
853;Ly-Fontaine;2440
854;Maast-et-Violaine;2220
855;Mâchecourt;2350
856;Macogny;2470
857;Macquigny;2120
858;Magny-la-Fosse;2420
859;Maissemy;2490
860;Maizy;2160
861;La Malmaison;2190
862;Malzy;2120
863;Manicamp;2300
864;Marchais;2350
865;Marchais-en-Brie;2540
866;Marcy;2720
867;Marcy-sous-Marle;2250
868;Marest-Dampcourt;2300
869;Mareuil-en-Dôle;2130
870;Marfontaine;2140
871;Margival;2880
872;Marigny-en-Orxois;2810
873;Marizy-Sainte-Geneviève;2470
874;Marizy-Saint-Mard;2470
875;Marle;2250
876;Marly-Gomont;2120
877;Martigny;2500
878;Martigny-Courpierre;2860
879;Mauregny-en-Haye;2820
880;Mayot;2800
881;Mennessis;2700
882;Menneville;2190
883;Mennevret;2630
884;Mercin-et-Vaux;2200
885;Merlieux-et-Fouquerolles;2000
886;Merval;2160
887;Mesbrecourt-Richecourt;2270
888;Mesnil-Saint-Laurent;2720
889;Meurival;2160
890;Mézières-sur-Oise;2240
891;Mézy-Moulins;2650
892;Missy-aux-Bois;2200
893;Missy-lès-Pierrepont;2350
894;Missy-sur-Aisne;2880
895;Molain;2110
