id_vile;ville;code_postal
536;MACLAS;42520
537;MARLHES;42660
538;MERLE LEIGNEC;42380
539;MIZERIEUX;42110
540;NERVIEUX;42510
541;NEULISE;42590
542;NOLLIEUX;42260
543;PALOGNEUX;42990
544;PARIGNY;42120
545;PELUSSIN;42410
546;PERIGNEUX;42380
547;PRADINES;42630
548;LA RICAMARIE;42150
549;RIVAS;42340
550;ROCHE;42600
551;ST CHAMOND;42400
552;ST CHAMOND;42400
553;ST CYR DE FAVIERES;42123
554;ST ETIENNE;42000
555;ST FORGEUX LESPINASSE;42640
556;ST GALMIER;42330
557;GENILAC;42800
558;ST GEORGES EN COUZAN;42990
559;ST GERMAIN LA MONTAGNE;42670
560;ST HAON LE VIEUX;42370
561;ST JEAN LA VETRE;42440
562;ST JEAN ST MAURICE SUR LOIRE;42155
563;ST JEAN SOLEYMIEUX;42560
564;ST JUST EN BAS;42990
565;ST MARCEL D URFE;42430
566;ST NIZIER DE FORNAS;42380
567;ST PAUL DE VEZELIN;42590
568;ST PIERRE DE BOEUF;42520
569;ST PRIEST EN JAREZ;42270
570;ST JUST ST RAMBERT;42170
571;ST JUST ST RAMBERT;42170
572;ST ROMAIN EN JAREZ;42800
573;ST SYMPHORIEN DE LAY;42470
574;ST VICTOR SUR RHINS;42630
575;SALVIZINET;42110
576;LA TERRASSE SUR DORLAY;42740
577;VEAUCHETTE;42340
578;LA VERSANNE;42220
579;VILLERS;42460
580;VOUGY;42720
581;ARAULES;43200
582;VISSAC AUTEYRAC;43300
583;AUTRAC;43450
584;AUVERS;43300
585;BEAUNE SUR ARZON;43500
586;BEAUX;43200
587;BLANZAC;43350
588;LE BOUCHET ST NICOLAS;43510
589;BOURNONCLE ST PIERRE;43360
590;BRIOUDE;43100
591;BRIVES CHARENSAC;43700
592;CHADRAC;43770
593;CHADRON;43150
594;LA CHAISE DIEU;43160
595;CHAMBEZON;43410
596;LE CHAMBON SUR LIGNON;43400
597;CHANALEILLES;43170
598;CHANIAT;43100
599;CHANTEUGES;43300
600;LA CHAPELLE BERTIN;43270
601;MOMUY;40700
602;MORCENX;40110
603;MORGANX;40700
604;MOUSCARDES;40290
605;NERBIS;40250
606;OEYREGAVE;40300
607;ONESSE LAHARIE;40110
608;ORTHEVIELLE;40300
609;PARENTIS EN BORN;40160
610;PECORADE;40320
611;PEYRE;40700
612;PISSOS;40410
613;PONTONX SUR L ADOUR;40465
614;POYANNE;40380
615;PUYOL CAZALET;40320
616;RION DES LANDES;40370
617;ROQUEFORT;40120
618;SABRES;40630
619;STE COLOMBE;40700
620;ST CRICQ DU GAVE;40300
621;ST GEOURS D AURIBAT;40380
622;ST JULIEN D ARMAGNAC;40240
623;ST MAURICE SUR ADOUR;40270
624;ST PAUL EN BORN;40200
625;ST PIERRE DU MONT;40280
626;SANGUINET;40460
627;SARRON;40800
628;SAUBION;40230
629;SERRES GASTON;40700
630;SINDERES;40110
631;SORDE L ABBAYE;40300
632;SOUSTONS;40140
633;TALLER;40260
634;URGONS;40320
